file,lat,lon,alt,head,yaw,time
nvcamtest_7563_s00_00000.jpg,13.031005800000003,77.56542212023388,29.717052805879852,140.95214032505484,140.44526688502023,1700035907.9823968
nvcamtest_7563_s00_00001.jpg,13.031005699999996,77.56542191982669,30.9012319133574,140.85612129963894,136.87993084150932,1700035908.9823968
nvcamtest_7563_s00_00002.jpg,13.031006079888684,77.56542487905378,30.631177457976356,134.2036661185356,165.02680491925457,1700035909.9823968
nvcamtest_7563_s00_00003.jpg,13.0310046,77.5653997,30.409,178.43000000000006,178.33561016838394,1700035912.58196
nvcamtest_7563_s00_00004.jpg,13.0310044,77.5653866,30.483,178.52999999999997,178.52211531386035,1700035913.5819921
nvcamtest_7563_s00_00005.jpg,13.031004,77.5653725,30.446,178.43000000000006,178.41785930636922,1700035914.582154
nvcamtest_7563_s00_00006.jpg,13.031003999999996,77.5653807550577,30.42742891862585,178.38607229656475,178.3643482838657,1700035913.9823968
nvcamtest_7563_s00_00007.jpg,13.031004340414444,77.56536687409118,30.48923315575189,178.5441450564146,178.5069706021502,1700035914.9823968
nvcamtest_7563_s00_00008.jpg,13.031004038757064,77.56535333711861,30.462038417946246,178.55712994278736,178.1882085465612,1700035915.9823968
nvcamtest_7563_s00_00009.jpg,13.0310023,77.5653105,30.39,178.14999999999998,178.0449309776866,1700035919.080669
nvcamtest_7563_s00_00010.jpg,13.0310016,77.5652984,30.396,172.64999999999998,167.31074228187788,1700035920.0811853
nvcamtest_7563_s00_00011.jpg,13.0310004,77.5652969,30.39,120.78999999999996,107.6505152026773,1700035921.0814507
nvcamtest_7563_s00_00012.jpg,13.0309987,77.565306,30.51,60.56999999999999,47.51135161640963,1700035922.081454
nvcamtest_7563_s00_00013.jpg,13.031002105277963,77.5652937602955,30.606150738950134,99.24954533861037,46.428895522494926,1700035920.9823968
nvcamtest_7563_s00_00014.jpg,13.0309912,77.5653394,30.568,9.620000000000005,9.690128483758656,1700035924.5818841
